customer_id,name,email,purchase_amount
1,Hailey Little,hailey.little@yahoo.com,,78.95
2,Mark Luna,mark.luna@gmail.com,830.34
3,Amy Chavez,amy.chavez@hotmail.com,839.99
,,,
,,,
nan,Sandra,sandra.holt@hotmail.com,423.25
7,Ashley Glenn,ashley.glenn@hotmail.com,418.04
8,Megan Evans,megan.evans@hotmail.com,371.34
9,Brooke Davis,brooke.davis@yahoo.com,296.73
10,Linda Ross,linda.ross@gmail.com,776.51
11,Christian,christian.robinson@yahoo.com,,159.41
12,Jennifer Simmons,jennifer.simmons@hotmail.com,49.48
13,Gabriel Preston,gabriel.preston@hotmail.com,277.89
